,gini
ENSG00000053900,0.22687240883393656
ENSG00000053918,0.6912390220073656
ENSG00000054116,0.1609285196517355
ENSG00000054118,0.2666150435340976
ENSG00000054148,0.3650572414246084
ENSG00000054219,0.35793999140296323
ENSG00000054267,0.272832204904723
ENSG00000054277,0.6707292576053766
ENSG00000054282,0.16967472190587854
ENSG00000054356,0.8560637164749886
ENSG00000054392,0.7979966741171226
ENSG00000054523,0.45109720962905603
ENSG00000054611,0.3041826568264368
ENSG00000054654,0.7256251771574802
ENSG00000054690,0.8030648189827515
ENSG00000054793,0.8457309224803542
ENSG00000054965,0.4007416233024761
ENSG00000054967,0.5012299345392953
ENSG00000054983,0.318763545957739
ENSG00000055044,0.3177719939981123
ENSG00000055070,0.22203146161758247
ENSG00000055118,0.6511704871210204
ENSG00000055130,0.3909628565781308
ENSG00000055147,0.2521450100574376
ENSG00000055163,0.378631295678986
ENSG00000055208,0.17183640141120227
ENSG00000055211,0.22661881091476413
ENSG00000055332,0.27489454965448407
ENSG00000055483,0.31610332713857714
ENSG00000055609,0.26202694804444654
ENSG00000055732,0.8571428571428571
ENSG00000055917,0.12286177342090862
ENSG00000055950,0.23799035734105836
ENSG00000055955,0.4588379598244651
ENSG00000056050,0.2643942067014116
ENSG00000056097,0.08407700259896032
ENSG00000056277,0.42393428775840747
ENSG00000056558,0.6782839416469522
ENSG00000056586,0.11036472672145042
ENSG00000056972,0.5452590490061716
ENSG00000057019,0.6469965415027922
ENSG00000057252,0.4427172418676295
ENSG00000057294,0.6525927832267291
ENSG00000057608,0.33984971533724617
ENSG00000057657,0.6768963346161208
ENSG00000057663,0.3292556524425069
ENSG00000057704,0.4070107296615517
ENSG00000057757,0.28634015022053416
ENSG00000057935,0.3503379204158053
ENSG00000058056,0.5170058490934308
ENSG00000058063,0.18164319854996086
ENSG00000058091,0.6660292382770049
ENSG00000058262,0.4329683251557914
ENSG00000058272,0.1380194981988055
ENSG00000058453,0.5077671627450021
ENSG00000058600,0.1943386415856248
ENSG00000058668,0.4787364865035321
ENSG00000058673,0.6553926493026703
ENSG00000058729,0.35505160332210167
ENSG00000058799,0.4278613216265616
ENSG00000058804,0.31624341901752917
ENSG00000058866,0.7274685845143356
ENSG00000059122,0.41431128396878414
ENSG00000059145,0.2145649938586363
ENSG00000059377,0.5373980565481966
ENSG00000059378,0.23299266066526825
ENSG00000059573,0.3705947708354226
ENSG00000059588,0.49705833699376084
ENSG00000059691,0.3064644638463445
ENSG00000059728,0.46265556494957355
ENSG00000059758,0.31544435007182575
ENSG00000059769,0.4256258153704177
ENSG00000059804,0.5287607782424288
ENSG00000059915,0.687847452358251
ENSG00000060069,0.4238276336051842
ENSG00000060138,0.4913536823211913
ENSG00000060140,0.7368405417278827
ENSG00000060237,0.23145976073928237
ENSG00000060339,0.17724000957906133
ENSG00000060491,0.22499280522678905
ENSG00000060558,0.6504349926539096
ENSG00000060642,0.36377014173676836
ENSG00000060688,0.12866193973271914
ENSG00000060749,0.46748302895515825
ENSG00000060762,0.15624046759350083
ENSG00000060971,0.2581719768120295
ENSG00000060982,0.5786355931538975
ENSG00000061273,0.364074427805543
ENSG00000061337,0.8571428571428571
ENSG00000061656,0.7675678557936643
ENSG00000061676,0.7997167452434101
ENSG00000061794,0.2829516516494256
ENSG00000061918,0.8307890360474124
ENSG00000061936,0.27732213812057904
ENSG00000061938,0.2788769754240848
ENSG00000061987,0.2707297035362217
ENSG00000062194,0.17362516670241496
ENSG00000062282,0.8148669773426185
ENSG00000062370,0.7585453029885035
ENSG00000062485,0.30915805088503734
ENSG00000062524,0.7654826881324132
ENSG00000062582,0.4709279844332506
ENSG00000062598,0.31406999121803747
ENSG00000062650,0.20672234527282066
ENSG00000062716,0.5520375734910866
ENSG00000062725,0.32904355152760834
ENSG00000062822,0.31556977962787003
ENSG00000063015,0.5042095349184255
ENSG00000063046,0.21068451458970172
ENSG00000063127,0.5334279493057639
ENSG00000063169,0.34450071830621076
ENSG00000063176,0.3416045692228015
ENSG00000063177,0.257733512916989
ENSG00000063180,0.29867953072476877
ENSG00000063241,0.4408253314251113
ENSG00000063244,0.12324397369023503
ENSG00000063245,0.24404459673703802
ENSG00000063322,0.1826067122390579
ENSG00000063587,0.27978913817776513
ENSG00000063601,0.4474013946461607
ENSG00000063660,0.6554728307910029
ENSG00000063761,0.36401308514946906
ENSG00000063854,0.3011461460056115
ENSG00000063978,0.2430796143775661
ENSG00000064012,0.444264357534606
ENSG00000064042,0.8139971334700213
ENSG00000064102,0.26254825069701837
ENSG00000064115,0.2812756306037245
ENSG00000064199,0.7161957622196029
ENSG00000064201,0.47420611183714745
ENSG00000064205,0.7647317998567582
ENSG00000064225,0.6157040536389593
ENSG00000064270,0.8571428571428572
ENSG00000064309,0.7452256047046311
ENSG00000064313,0.15102185956304742
ENSG00000064393,0.33217977908450674
ENSG00000064419,0.26238757424374376
ENSG00000064490,0.07098037385632912
ENSG00000064545,0.4513718939727824
ENSG00000064547,0.5041318015406827
ENSG00000064601,0.782057602991359
ENSG00000064607,0.25540770519852213
ENSG00000064651,0.44629470121170983
ENSG00000064652,0.5712379037098538
ENSG00000064666,0.1468054762246847
ENSG00000064687,0.2491286607616856
ENSG00000064703,0.3596289545631273
ENSG00000064726,0.24566055506282167
ENSG00000064763,0.7168110741230723
