,mgc_gini
GO:0007405,0.7853469730909985
GO:0007409,0.8007942822072307
GO:0007411,0.81957876537384
GO:0007416,0.8727440909492823
GO:0007417,0.8641613073025778
GO:0007420,0.6989971872990067
GO:0007422,0.8436664747835633
GO:0007492,0.6016084942680766
GO:0007498,0.7749396820171263
GO:0007507,0.6909236243623259
GO:0007517,0.796795057060536
GO:0007519,0.7898432004288479
GO:0007520,0.8504934532214392
GO:0007528,0.7694394824353108
GO:0007565,0.831348987630657
GO:0007566,0.8236837390490516
GO:0007568,0.6946234781708787
GO:0007584,0.7438937677357793
GO:0007585,0.7678421378041835
GO:0007586,0.92123591971684
GO:0007595,0.6120615396882269
GO:0007596,0.835999108122971
GO:0007601,0.9169345787290188
GO:0007602,0.9592762422633605
GO:0007605,0.8332500514237658
GO:0007608,0.9572572491466422
GO:0007611,0.8087808852838053
GO:0007612,0.8359663787310367
GO:0007613,0.8802692399845526
GO:0007616,0.7843403976167684
GO:0007623,0.6378112520422985
GO:0007626,0.873610547760956
GO:0007628,0.8713038762082445
GO:0007631,0.9273562544462963
GO:0008015,0.8463321245315374
GO:0008016,0.8681902524073791
GO:0008053,0.41428346360682256
GO:0008089,0.4221645786900911
GO:0008104,0.58484034847929
GO:0008154,0.5921846127774727
GO:0008202,0.9033267506580992
GO:0008203,0.6387191167941602
GO:0008210,0.9065263946648393
GO:0008217,0.8336154169044038
GO:0008219,0.5843542167145421
GO:0008277,0.7471482429148224
GO:0008283,0.6543377378435575
GO:0008284,0.7314375161787633
GO:0008285,0.7115577050369342
GO:0008286,0.5530295829804144
GO:0008306,0.8664835375940456
GO:0008333,0.4381359215111021
GO:0008340,0.5495425090270651
GO:0008344,0.8027739296356959
GO:0008360,0.6662920083670578
GO:0008361,0.49262676888594276
GO:0008380,0.3259951225508889
GO:0008542,0.7766954657892802
GO:0008543,0.7765369432026005
GO:0008544,0.8811637335860476
GO:0008584,0.7935184253430685
GO:0008589,0.749792570163935
GO:0008625,0.5468950535317272
GO:0008630,0.49187946634372054
GO:0008643,0.4668887263814704
GO:0008654,0.5469284580675648
GO:0009060,0.3779017578035435
GO:0009267,0.528858969129885
GO:0009306,0.6004065284730413
GO:0009311,0.8960511494302361
GO:0009312,0.7557816104200681
GO:0009314,0.7594675538693614
GO:0009408,0.7191433623321111
GO:0009409,0.7377093073253078
GO:0009410,0.7505451566810627
GO:0009411,0.4269149949389729
GO:0009566,0.9113697406720525
GO:0009611,0.7959533506503722
GO:0009612,0.740230349348311
GO:0009615,0.6072762074844308
GO:0009617,0.8583164986430699
GO:0009636,0.7327452901361794
GO:0009653,0.8631797345536452
GO:0009725,0.7189440992335505
GO:0009749,0.6395075477893605
GO:0009755,0.8448255973145591
GO:0009791,0.5194430483158253
GO:0009792,0.7793181662966551
GO:0009880,0.8201316387229806
GO:0009887,0.7876993473106995
GO:0009952,0.775795490861121
GO:0009953,0.837805681561503
GO:0009954,0.8701116827292924
GO:0009966,0.5961774615652206
GO:0009968,0.811259866998604
GO:0010033,0.5490538900047689
GO:0010043,0.7883343357622206
GO:0010212,0.48080690967002554
GO:0010259,0.8557138227469832
GO:0010332,0.5098264673623585
GO:0010460,0.8379514274720375
GO:0010466,0.9049348206936161
GO:0010467,0.7298147312256806
GO:0010468,0.6499280047549129
GO:0010506,0.5342966166103416
GO:0010507,0.5717793250060211
GO:0010508,0.48740879245634955
GO:0010529,0.8077753588498502
GO:0010575,0.8182679602754332
GO:0010592,0.49262676888594276
GO:0010595,0.7229923395526588
GO:0010596,0.8113519664035099
GO:0010608,0.4104666684619711
GO:0010613,0.6035294949796581
GO:0010628,0.7655426798338822
GO:0010629,0.6204393583406369
GO:0010634,0.664964719131432
GO:0010667,0.660430219143943
GO:0010718,0.7254998871680843
GO:0010719,0.7312950564777001
GO:0010800,0.7015515543830675
GO:0010804,0.6941956909368616
GO:0010811,0.8157637879798648
GO:0010821,0.4150682510383853
GO:0010824,0.36224593193451554
GO:0010839,0.6974912321957558
GO:0010842,0.8467805360255672
GO:0010862,0.819206933583255
GO:0010875,0.7667772802835174
GO:0010881,0.7835170080081129
GO:0010906,0.5943137155458124
