,mgc_gini,mgc_gini_others,wilcoxon_stat,p_value
GO:0030574,0.6459259175344798,0.4261914281227785,1.9124583736252236,0.05581742690066876
GO:0030593,0.7304165280447852,0.42598770647525347,4.373916500327682,1.2203707330001602e-05
GO:0030833,0.36364013448921034,0.42655177020872737,-0.8273995171510871,0.4080106541740486
GO:0030838,0.46934808804776706,0.4262291357324676,0.16912007348594177,0.8657021959946558
GO:0030855,0.6333757806434355,0.42616651887148127,2.2591962078903385,0.023871182614801822
GO:0030866,0.37180197086873873,0.42655177020872737,-0.7676364012152603,0.44270323001348344
GO:0030878,0.33263243591757397,0.4263795776663454,0.024504858894254477,0.9804499080428268
GO:0030879,0.6383868045175692,0.42621028192762306,1.3353352359651127,0.18176665109543388
GO:0030890,0.5708991668065584,0.42598770647525347,2.703781864400861,0.006855527724101507
GO:0030900,0.5355008926182674,0.42616651887148127,1.1578535516774475,0.24692380523044055
GO:0030901,0.7257385308145894,0.42616651887148127,2.6623730117121807,0.007759184080989377
GO:0030968,0.3349923263639918,0.42706615797657665,-2.535497797689377,0.01122876345109522
GO:0031016,0.4980675208847185,0.4263710019171175,-0.18422905912824408,0.853833763737317
GO:0031032,0.5367180718741384,0.4261794298588571,1.0924919134853412,0.27461694290494
GO:0031047,0.27703916297874415,0.42660646834061233,-1.5293614170404832,0.12617487177675887
GO:0031069,0.548655433616621,0.4261794298588571,1.1359753840321114,0.25596686663158874
GO:0031100,0.5430815549661443,0.4261914281227785,1.7613035674050086,0.07818703658566749
GO:0031116,0.3249454376573152,0.42675864770422056,-1.27481782588121,0.20237372973621737
GO:0031122,0.3974069090682979,0.4263881534155733,-1.7175149679942208,0.08588512196730391
GO:0031145,0.2635646116605738,0.42675864770422056,-2.8214639416542537,0.004780501140029227
GO:0031146,0.3516236940168443,0.4269334088535044,-1.6350033776874828,0.10204833955459705
GO:0031175,0.4427418244509749,0.4262625670267879,1.1540498556845136,0.24847972973113763
GO:0031214,0.4462275997516132,0.4262959983211081,0.6743472333959126,0.500090581353856
GO:0031295,0.6189259017813487,0.426087835517552,2.286980666090826,0.022196951614191367
GO:0031297,0.3921282048866814,0.42685612893594393,-1.1230143880351304,0.2614313838018544
GO:0031333,0.34111568830843286,0.4270361950167309,-2.2536407694472884,0.024218776338568768
GO:0031334,0.4038873075508415,0.4263795776663454,-0.4513203317339431,0.6517586932414422
GO:0031397,0.3698133605493079,0.42709019144294613,-2.136392258114971,0.03264745456434806
GO:0031398,0.3374286323309416,0.42711422490931567,-2.7875333354671192,0.005311098967861161
GO:0031424,0.7665015463376017,0.42616651887148127,3.0793531467189053,0.0020745061611152395
GO:0031507,0.3311582366155142,0.4270571706969837,-1.920568803910558,0.05478609123142099
GO:0031532,0.5201136768524361,0.42594567302676517,2.071097990728338,0.038349639596969375
GO:0031589,0.6044824016411761,0.42616560614802684,2.4830171595127393,0.013027481195250086
GO:0031623,0.5383766775096969,0.42614273109960776,2.3794680817912663,0.0173376444408321
GO:0031640,0.5736446607518172,0.4263710019171175,0.602904600778307,0.5465721551479623
GO:0031641,0.44201981863024026,0.4263710019171175,-0.04866027115759681,0.9611900373700698
GO:0031647,0.36526820117647485,0.4271262576863688,-2.923193833839266,0.003464607638098892
GO:0031648,0.3250104264674287,0.4271262576863688,-2.71956634722506,0.006536757989152432
GO:0031663,0.5610696363164085,0.4262291357324676,1.414793553450646,0.1571290347893547
GO:0031667,0.41051760360321765,0.42675864770422056,-0.8289306241420415,0.40714366525073564
GO:0031669,0.24716465196181117,0.4269334088535044,-3.059578129386713,0.002216489664638142
GO:0031929,0.30246194143727967,0.4270106887710649,-2.4755723746602354,0.01330227975212201
GO:0031954,0.5713951803519848,0.4262291357324676,1.206010144382414,0.2278135789939909
GO:0032007,0.3904288125063019,0.42685612893594393,-1.2099321241310372,0.2263049393069546
GO:0032008,0.3258613356267994,0.42706615797657665,-2.307563496906206,0.021023426760134564
GO:0032024,0.44359484414770556,0.4261914281227785,0.7302570249789461,0.4652330915842715
GO:0032088,0.4175244722208927,0.42646996181215036,-0.17615915615869504,0.8601689075980193
GO:0032091,0.40706173642411003,0.42675864770422056,-1.6752676454530093,0.09388173050704318
GO:0032092,0.35425900589677656,0.42675864770422056,-1.8920213497637677,0.05848813627720558
GO:0032094,0.3871373584360389,0.4263795776663454,-0.03497476863347296,0.9720998602742632
GO:0032147,0.4896095393566002,0.4262625670267879,1.1243023872817617,0.26088476596727006
GO:0032148,0.5355759043557907,0.4262959983211081,0.9511863818232402,0.34150977024657614
GO:0032204,0.27957629079497903,0.4270106887710649,-2.9537292941833795,0.0031395927593608356
GO:0032211,0.28472903894321616,0.42704818341739076,-3.0477729969620273,0.0023054401109466062
GO:0032212,0.27544962967720943,0.42711422490931567,-3.8400575307918663,0.00012300548159832533
GO:0032259,0.4125225724736682,0.42685612893594393,-0.10727776381971571,0.9145686246289829
GO:0032331,0.35535810837226645,0.42655177020872737,-0.9646312461485156,0.33472954328029747
GO:0032332,0.7366004023976908,0.42621028192762306,2.260411333269362,0.02379573376788827
GO:0032355,0.5393824496632531,0.42585604906223123,2.8739489893137926,0.004053744302630254
GO:0032402,0.36536409905380524,0.42655177020872737,-0.9171416180611914,0.3590684350179778
GO:0032418,0.3070031773042744,0.42702420661607104,-2.7816275316656704,0.005408707529237783
GO:0032435,0.3192195941940482,0.42704818341739076,-3.355721187040806,0.000791583285876781
GO:0032436,0.352343748559774,0.4270571706969837,-2.320295346489325,0.020324905687726293
GO:0032438,0.305619288605159,0.42685612893594393,-1.4435263238728264,0.14887226257213204
GO:0032456,0.3232961737839921,0.42778804884072225,-3.8017543247953194,0.0001436751556826589
GO:0032465,0.36354785326720135,0.42666116647249724,-1.3312285920535647,0.18311380613551043
GO:0032467,0.39167690894982027,0.42660646834061233,-0.3950545868919192,0.6928026029744396
GO:0032481,0.3611120537342879,0.4270106887710649,-1.3067717804736385,0.19129023189657735
GO:0032496,0.5692081015434707,0.425684561174348,3.559386148410064,0.00037172263607188744
GO:0032508,0.3511575853339232,0.4270571706969837,-2.224738435716622,0.026098802425759977
GO:0032526,0.6227861725604801,0.4258826348666871,3.594250532393212,0.0003253266847445876
GO:0032543,0.2551185310024395,0.4290378858047643,-9.576324917107664,1.0055958391991694e-21
GO:0032570,0.5959174428083576,0.42616560614802684,1.9499217283351928,0.05118544890897252
GO:0032689,0.6725533465470925,0.4260217607295844,3.229556351363804,0.0012398244532774662
GO:0032691,0.4312617980521393,0.4263335001191128,0.4630481492338426,0.643329854719368
GO:0032693,0.6774926882423216,0.4261794298588571,2.355396892919287,0.018502931155011403
GO:0032703,0.6352440154354416,0.4261794298588571,2.231012176268084,0.025680322470260086
GO:0032715,0.5396608861065643,0.426087835517552,2.408625629417964,0.016012714122572446
GO:0032720,0.5926220266747034,0.42586163015509726,3.2145931576954765,0.0013062952041962804
GO:0032722,0.7134526182389569,0.42586163015509726,4.277167058788794,1.8928675365540296e-05
GO:0032727,0.3555355867387217,0.42660646834061233,-1.1822157359612284,0.23712011034920455
GO:0032728,0.3573796419141281,0.4269334088535044,-1.6088404874752986,0.10765122529883309
GO:0032729,0.6332516585981587,0.4255696989799498,3.974336233955232,7.057580294220447e-05
GO:0032731,0.554807137430898,0.42585604906223123,2.697572347587807,0.006984710556612965
GO:0032733,0.645481936030495,0.426087835517552,2.6028460599834946,0.009245345615924721
GO:0032735,0.5925370612036722,0.42616560614802684,2.071178706824037,0.0383420987113989
GO:0032740,0.5244075369888469,0.42616560614802684,1.9853605943191974,0.04710436686729273
GO:0032743,0.47058773595540504,0.4263335001191128,0.22577865553027268,0.8213735788730173
GO:0032753,0.6285749176644533,0.42611985605118874,2.962061672108887,0.003055865686244773
GO:0032755,0.5098358585166796,0.42586163015509726,1.9608691773619829,0.04989428570310557
GO:0032757,0.4835032776884141,0.42614273109960776,1.7457203508233068,0.08085955704608674
GO:0032760,0.46991256092244377,0.42616651887148127,1.1257324458598006,0.26027878579756347
GO:0032781,0.3613101151620343,0.42655177020872737,-0.7229040819545027,0.46973881553760244
GO:0032868,0.45328694341890424,0.4262625670267879,0.033671065390148136,0.9731394523577259
