,gini
ENSG00000007202,0.15428583094516313
ENSG00000007216,0.679927361644236
ENSG00000007237,0.3867521718967263
ENSG00000007255,0.31276241715177583
ENSG00000007264,0.4672388669841213
ENSG00000007306,0.6374532184156089
ENSG00000007312,0.7689162865625458
ENSG00000007314,0.7577793780314815
ENSG00000007341,0.08004963005681334
ENSG00000007350,0.49110240775383307
ENSG00000007372,0.7514361341323308
ENSG00000007376,0.18171703837093678
ENSG00000007384,0.4970210421120483
ENSG00000007392,0.14769423265199003
ENSG00000007402,0.5102583067326734
ENSG00000007516,0.5469307947463055
ENSG00000007520,0.12111266942151365
ENSG00000007541,0.2694071397203307
ENSG00000007545,0.1346012552896949
ENSG00000007866,0.5744047981010469
ENSG00000007908,0.8068496000734756
ENSG00000007923,0.13245914218199084
ENSG00000007933,0.7539894021189558
ENSG00000007944,0.4858333842523037
ENSG00000007952,0.44784165663974984
ENSG00000007968,0.5841095550416872
ENSG00000008018,0.18095232850035456
ENSG00000008056,0.3392179201281995
ENSG00000008083,0.13193929065789192
ENSG00000008086,0.3169109610531869
ENSG00000008118,0.6088536155866577
ENSG00000008128,0.17236226023906973
ENSG00000008130,0.17698795647882912
ENSG00000008196,0.7772703365231458
ENSG00000008197,0.6304760972893758
ENSG00000008226,0.4642451054834667
ENSG00000008256,0.3880669571409408
ENSG00000008277,0.3489403451704635
ENSG00000008282,0.43625274143414794
ENSG00000008283,0.47914352000028165
ENSG00000008294,0.18914658478177984
ENSG00000008300,0.5359728346741478
ENSG00000008311,0.4524221533711982
ENSG00000008323,0.5865276293442802
ENSG00000008324,0.30550579343845446
ENSG00000008382,0.10963227882996296
ENSG00000008394,0.782982065283683
ENSG00000008405,0.132551782905672
ENSG00000008438,0.5397732070480019
ENSG00000008441,0.27791401422228446
ENSG00000008513,0.46384625378687827
ENSG00000008516,0.4025169812828265
ENSG00000008517,0.8204739458080587
ENSG00000008710,0.287227195529401
ENSG00000008735,0.2933724900420437
ENSG00000008838,0.10535602731115419
ENSG00000008853,0.3712118757930536
ENSG00000008869,0.1282284862355554
ENSG00000008952,0.08402062104195783
ENSG00000008988,0.21169602972218537
ENSG00000009307,0.10250528793301439
ENSG00000009335,0.04227301939468531
ENSG00000009413,0.2807229798930408
ENSG00000009694,0.5559406318499522
ENSG00000009709,0.5063917060029862
ENSG00000009724,0.16418991238413544
ENSG00000009765,0.7024571362070654
ENSG00000009780,0.2179334167289393
ENSG00000009790,0.8185667740891275
ENSG00000009830,0.23378593322361108
ENSG00000009844,0.1786920847890376
ENSG00000009950,0.5505728158786315
ENSG00000009954,0.1272966332658281
ENSG00000010017,0.14105401032966136
ENSG00000010030,0.42021373479890706
ENSG00000010072,0.12630795392935848
ENSG00000010165,0.22007204193213048
ENSG00000010219,0.11335067378050445
ENSG00000010244,0.09567134622679486
ENSG00000010256,0.12475017676826228
ENSG00000010270,0.11128454169191415
ENSG00000010278,0.5860081429236471
