go_id,Q,auc_sim,auc_real
SIMGO_3_Q2,Q2,0.4830390695105957,0.42953543993030807
SIMGO_3_Q3,Q3,0.49135482386507434,0.6865414557638839
SIMGO_40_Q2,Q2,0.4532169531303928,0.47107849148071573
SIMGO_40_Q3,Q3,0.47450506200961784,0.7595095080824642
SIMGO_41_Q2,Q2,0.46520758841259985,0.5488206127427684
SIMGO_41_Q3,Q3,0.46603373139136245,0.7841663960631813
SIMGO_42_Q2,Q2,0.45388011090402886,0.4510240893873629
SIMGO_42_Q3,Q3,0.5199121166102942,0.8133271024089388
SIMGO_43_Q2,Q2,0.4231158624974114,0.4980214823792209
SIMGO_43_Q3,Q3,0.5175080992153885,0.7189680615954944
SIMGO_44_Q2,Q2,0.4631220289454914,0.44532943664314395
SIMGO_44_Q3,Q3,0.5363870711672534,0.7445473339036214
SIMGO_45_Q2,Q2,0.4754183405812107,0.45959337937880845
SIMGO_45_Q3,Q3,0.4807623846667127,0.7660344235896623
SIMGO_46_Q2,Q2,0.4598120843975058,0.5979098228663446
SIMGO_46_Q3,Q3,0.5648791675295093,0.7768137270432679
SIMGO_47_Q2,Q2,0.45858926393778326,0.44838054050628906
SIMGO_47_Q3,Q3,0.48742551943121415,0.7417353124438953
SIMGO_48_Q2,Q2,0.4600753549159016,0.45746923698213604
SIMGO_48_Q3,Q3,0.4928302616138607,0.76775903220015
SIMGO_49_Q2,Q2,0.5166391592462207,0.5058018531717748
SIMGO_49_Q3,Q3,0.5132877177239366,0.8675796291015853
SIMGO_4_Q2,Q2,0.4413994615862497,0.4594587930292542
SIMGO_4_Q3,Q3,0.49401691171395046,0.7315931628805881
SIMGO_50_Q2,Q2,0.4754238742780884,0.430463721972739
SIMGO_50_Q3,Q3,0.5416046455442811,0.803697678287113
SIMGO_51_Q2,Q2,0.4255596396769517,0.5940922388028177
SIMGO_51_Q3,Q3,0.5486727410782081,0.7787085145314988
SIMGO_52_Q2,Q2,0.4371737764892663,0.5783619005375492
SIMGO_52_Q3,Q3,0.5190323278341502,0.7652147007653458
SIMGO_53_Q2,Q2,0.46135908055498037,0.5121825717378106
SIMGO_53_Q3,Q3,0.5306877315294173,0.6822827097128494
SIMGO_54_Q2,Q2,0.4719861485009549,0.5704948215733019
SIMGO_54_Q3,Q3,0.4688074595614459,0.7733890116679736
SIMGO_55_Q2,Q2,0.43767167115344796,0.5828100412930753
SIMGO_55_Q3,Q3,0.4772221186811164,0.7448946793089517
SIMGO_56_Q2,Q2,0.449793688594372,0.5075588397578561
SIMGO_56_Q3,Q3,0.4912498676974759,0.789163993251111
SIMGO_57_Q2,Q2,0.4399225282437127,0.5388008638807041
SIMGO_57_Q3,Q3,0.5182654908998873,0.7317230709931545
SIMGO_58_Q2,Q2,0.4095327880168426,0.5643506570661343
SIMGO_58_Q3,Q3,0.45208218862888566,0.7285089615954253
SIMGO_59_Q2,Q2,0.48185059018430315,0.4005477404978403
SIMGO_59_Q3,Q3,0.48856555302455074,0.7248456310448895
SIMGO_5_Q2,Q2,0.4354785324773935,0.4349340302526332
SIMGO_5_Q3,Q3,0.5088051586479833,0.8021933414129893
SIMGO_60_Q2,Q2,0.43829418329076647,0.5299270346611757
SIMGO_60_Q3,Q3,0.5546795057637882,0.8203100455933873
SIMGO_61_Q2,Q2,0.42621618232438274,0.4471757015070388
SIMGO_61_Q3,Q3,0.540398184579278,0.8128163250219138
SIMGO_62_Q2,Q2,0.4577727963001312,0.4821582662008983
SIMGO_62_Q3,Q3,0.5260184648305377,0.7330639243363989
SIMGO_63_Q2,Q2,0.5200576954050758,0.47942118740265566
SIMGO_63_Q3,Q3,0.47627774326407585,0.8279546726652515
SIMGO_64_Q2,Q2,0.4931289201813121,0.5215224518888096
SIMGO_64_Q3,Q3,0.5144812245461449,0.7258703690501652
SIMGO_65_Q2,Q2,0.47513329191689097,0.39671851323882684
SIMGO_65_Q3,Q3,0.502622822760636,0.7422237534419444
SIMGO_66_Q2,Q2,0.47441766181173933,0.4770011853752677
SIMGO_66_Q3,Q3,0.516960113665125,0.7608341451437894
SIMGO_67_Q2,Q2,0.4531991095464899,0.47986630793718676
SIMGO_67_Q3,Q3,0.5377193115666921,0.7761034433592358
SIMGO_68_Q2,Q2,0.4710423828259819,0.5028815361223956
SIMGO_68_Q3,Q3,0.4990028761418282,0.7574191827984244
SIMGO_69_Q2,Q2,0.4727851867191275,0.4336498508487104
SIMGO_69_Q3,Q3,0.5006537240284393,0.7662778926356312
SIMGO_6_Q2,Q2,0.4904785900002301,0.6001380195337563
SIMGO_6_Q3,Q3,0.5473580911621915,0.7718020308589171
SIMGO_70_Q2,Q2,0.5044899219990336,0.4921483488050354
SIMGO_70_Q3,Q3,0.47960373668346334,0.7313830082131458
SIMGO_71_Q2,Q2,0.47539502082326685,0.5069576191532279
SIMGO_71_Q3,Q3,0.46019539357124783,0.747572183674978
SIMGO_72_Q2,Q2,0.4892233841835209,0.548776626640898
SIMGO_72_Q3,Q3,0.5023424104369435,0.7874792478534993
SIMGO_73_Q2,Q2,0.4971812199443179,0.4973379167590744
SIMGO_73_Q3,Q3,0.5051890315455235,0.8056168351128431
SIMGO_74_Q2,Q2,0.4472330250109293,0.4920274266282251
SIMGO_74_Q3,Q3,0.4890193851959227,0.8170850027328248
SIMGO_75_Q2,Q2,0.4554852051264352,0.5205323542691476
SIMGO_75_Q3,Q3,0.5062051379397621,0.7288434043451864
SIMGO_76_Q2,Q2,0.48964276017578984,0.5802425836158371
SIMGO_76_Q3,Q3,0.49089326062446786,0.7490667522159644
SIMGO_77_Q2,Q2,0.5006453487034352,0.5756614148903306
SIMGO_77_Q3,Q3,0.47190038195163475,0.714420050530251
SIMGO_78_Q2,Q2,0.4506706932652263,0.51175125938599
SIMGO_78_Q3,Q3,0.5507084627597156,0.7367043954419203
SIMGO_79_Q2,Q2,0.48395686937714283,0.56929526389582
SIMGO_79_Q3,Q3,0.48596116058075056,0.7747729936951494
SIMGO_7_Q2,Q2,0.4596849934423966,0.4817755281480953
SIMGO_7_Q3,Q3,0.46538203216677027,0.790257640918415
SIMGO_80_Q2,Q2,0.45218685718230134,0.44654183696099864
SIMGO_80_Q3,Q3,0.4766899173972067,0.8006671894679309
SIMGO_81_Q2,Q2,0.47281081889510135,0.5658175261297366
SIMGO_81_Q3,Q3,0.4577565058328157,0.7712362840456654
SIMGO_82_Q2,Q2,0.49374452957824255,0.4545633958976796
SIMGO_82_Q3,Q3,0.5216329352753043,0.7509013331432237
SIMGO_83_Q2,Q2,0.47748414670624234,0.42666518835300016
SIMGO_83_Q3,Q3,0.4628758657186903,0.8372361870066789
SIMGO_84_Q2,Q2,0.46349652562067156,0.5552548656163114
SIMGO_84_Q3,Q3,0.501456512735556,0.7898114617326196
SIMGO_85_Q2,Q2,0.46525460757920895,0.499616878265392
SIMGO_85_Q3,Q3,0.4918817905708567,0.8106062593569544
SIMGO_86_Q2,Q2,0.47143330802328515,0.4799892822259179
SIMGO_86_Q3,Q3,0.5032622351073376,0.7111361404175776
SIMGO_87_Q2,Q2,0.4923208393732312,0.47471242699785615
SIMGO_87_Q3,Q3,0.48508436299210794,0.76100737678083
SIMGO_88_Q2,Q2,0.4406304502887646,0.5060004276855085
SIMGO_88_Q3,Q3,0.48327056441407235,0.7013729474109457
SIMGO_89_Q2,Q2,0.45754081820482734,0.4444006990810042
SIMGO_89_Q3,Q3,0.5272140079611606,0.796183083568313
SIMGO_8_Q2,Q2,0.4641510204551207,0.48170926361531535
SIMGO_8_Q3,Q3,0.5164223901889049,0.7369216273377535
SIMGO_90_Q2,Q2,0.47199906813004766,0.4434539564869596
SIMGO_90_Q3,Q3,0.48708545592600266,0.7014633445022694
SIMGO_91_Q2,Q2,0.535717585881595,0.5057580077939359
SIMGO_91_Q3,Q3,0.5028431007109824,0.7127082531308666
SIMGO_92_Q2,Q2,0.4817403419157406,0.5781514697844633
SIMGO_92_Q3,Q3,0.5122427118566071,0.8097563508471758
SIMGO_93_Q2,Q2,0.4726558753825268,0.5386298302865168
SIMGO_93_Q3,Q3,0.4850513448839189,0.741574014673309
SIMGO_94_Q2,Q2,0.4500305791399185,0.49082840236686387
SIMGO_94_Q3,Q3,0.48634088032949085,0.7690963575494513
SIMGO_95_Q2,Q2,0.49809738616230637,0.5043305533775275
SIMGO_95_Q3,Q3,0.5240309127723706,0.7601662283897812
SIMGO_96_Q2,Q2,0.49557938151446124,0.505028831226436
SIMGO_96_Q3,Q3,0.5254221255838568,0.7437600684296813
SIMGO_97_Q2,Q2,0.4759245300384253,0.5160040765030784
SIMGO_97_Q3,Q3,0.5223731161271025,0.7754185377907667
SIMGO_98_Q2,Q2,0.4672005015991349,0.4559419761885906
SIMGO_98_Q3,Q3,0.46420256091668394,0.778151089565362
SIMGO_99_Q2,Q2,0.5031034490692805,0.44987559272988414
SIMGO_99_Q3,Q3,0.4507474057200709,0.7730835155086652
SIMGO_9_Q2,Q2,0.4813861853155703,0.5198761436277656
SIMGO_9_Q3,Q3,0.5292785715929224,0.7518948218911148
