go_id,auc_sim,auc_real
GO:0006396,0.498495730225398,0.6148175699148862
GO:0006397,0.5234600693725511,0.6268628912958626
GO:0006400,0.5098815232006495,0.6213354797979798
GO:0006401,0.4628811599108625,0.6109366883257527
GO:0006402,0.411228554754474,0.6219843088280588
GO:0006406,0.5149516627259555,0.6578601131128486
GO:0006412,0.45276471975309196,0.756744347093554
GO:0006413,0.48844824079723403,0.6873032951095207
GO:0006417,0.508216276051607,0.5674157686675271
GO:0006446,0.5303550828263339,0.6163235542560104
GO:0006457,0.4716639182901265,0.6273722672304055
GO:0006468,0.49505363601903096,0.5603027711331869
GO:0006469,0.467070783354356,0.5339154990559281
GO:0006470,0.46239050152494,0.5550777455000004
GO:0006479,0.5109545212158151,0.562354980071051
GO:0006486,0.4886979967655965,0.5424686628531679
GO:0006487,0.4682358812012105,0.5653479355430595
GO:0006493,0.4898470504402705,0.48254023245140726
GO:0006506,0.4354063570612865,0.5889356149182635
GO:0006508,0.5393574972857056,0.566038960123657
GO:0006509,0.48511836796833396,0.612681447858473
GO:0006511,0.482822832876916,0.5464858513223326
GO:0006513,0.500488353938602,0.5543484229170924
GO:0006605,0.491900104365816,0.5027322501769745
GO:0006606,0.477555080365315,0.5539938328384703
GO:0006611,0.5151702349722155,0.5060566774962096
GO:0006612,0.448110539028731,0.5058616810076451
GO:0006622,0.4568264301304505,0.6134095995192932
GO:0006626,0.477831928791417,0.6986408114845615
GO:0006629,0.5420308015580155,0.555056249630811
GO:0006631,0.552669201181925,0.5427692913537164
GO:0006633,0.5322585084131459,0.5078867910373113
GO:0006635,0.6101397268788076,0.6426711092735742
GO:0006637,0.5925156603445274,0.5903055604524072
GO:0006641,0.5456630278412455,0.5898119197695323
GO:0006644,0.5553961235328925,0.5556796105979792
GO:0006654,0.484521835268104,0.5110868780730825
GO:0006656,0.550917116979983,0.572530025544443
GO:0006661,0.513130091926981,0.5958903386670136
GO:0006672,0.5270317291172825,0.48214292827145144
GO:0006687,0.5184828746144114,0.521669456325753
GO:0006693,0.5529706630711351,0.682272665945166
GO:0006694,0.596184169031851,0.5575313190203975
GO:0006695,0.6191346739792809,0.6870394849312047
GO:0006699,0.6202076445681806,0.5327695842806106
GO:0006749,0.479553650169222,0.6685997166970012
GO:0006783,0.3936065710443425,0.5590203533774358
GO:0006805,0.5076057846813065,0.5919358990854111
GO:0006809,0.515908956372462,0.6395000288600288
GO:0006811,0.53072305547053,0.5692132582060819
GO:0006812,0.627502854967644,0.6034626123200173
GO:0006813,0.596920044536728,0.589097481257417
GO:0006814,0.52547104744844,0.5806721101826937
GO:0006816,0.485215352424335,0.5588959993990863
GO:0006821,0.5093340615976085,0.54411237037778
GO:0006836,0.6000572626601275,0.5983419972986052
GO:0006839,0.487827667850499,0.5081161868686869
GO:0006865,0.45546082491839,0.5172748602625763
GO:0006869,0.5185546780308534,0.5927607463853067
GO:0006874,0.517467151879046,0.5657654459524587
GO:0006879,0.466191542612315,0.5422325896975566
GO:0006882,0.4344368076097675,0.537782104579409
GO:0006883,0.5492447721267084,0.590325276723666
GO:0006884,0.5031817912744925,0.4600863599677159
GO:0006886,0.4908469931082995,0.5906459236445089
GO:0006887,0.5861949149219795,0.5811973622980408
GO:0006888,0.4961034378952835,0.6074544409220646
GO:0006890,0.5069080062368649,0.5725535193437858
GO:0006891,0.44665718951759603,0.5863584535412606
GO:0006893,0.494824184051571,0.5770428060318697
GO:0006897,0.4608195940538665,0.5623052343207905
GO:0006898,0.4458876938637115,0.5948320889392437
GO:0006904,0.5526152752386755,0.5971168074690234
GO:0006906,0.5387163088168114,0.594056269217444
GO:0006909,0.478544434264773,0.634698091248394
GO:0006911,0.4537202154419385,0.7924802048636562
GO:0006913,0.441788755151317,0.6669660010840108
GO:0006914,0.4869666716608625,0.5463649943237269
GO:0006919,0.4626443566364125,0.6157508368104045
GO:0006935,0.5661267557732205,0.7372489005725731
GO:0006936,0.55347448515791,0.6448331525161909
GO:0006939,0.509272648857092,0.5079660522173672
GO:0006952,0.5518100727846496,0.6626162714955706
GO:0006953,0.5631422699246404,0.7840699681105404
GO:0006954,0.546189236950009,0.6864379364239668
GO:0006955,0.5563449530378439,0.735147916795966
GO:0006956,0.515411150002536,0.7763839925526618
GO:0006958,0.4803324451211775,0.7588968247779945
