go_id,Q,auc_sim,auc_real
SIMGO_209_Q2,Q2,0.5215284486841215,0.49014297217288333
SIMGO_209_Q3,Q3,0.7051774575468507,0.7746158946670455
SIMGO_20_Q2,Q2,0.414479534537582,0.5153387803433984
SIMGO_20_Q3,Q3,0.7601685497147238,0.8006749082297218
SIMGO_210_Q2,Q2,0.4408395462643483,0.47474950796206833
SIMGO_210_Q3,Q3,0.7148851002413008,0.7768853522794553
SIMGO_211_Q2,Q2,0.45188187538055613,0.4524774185908822
SIMGO_211_Q3,Q3,0.760821369776515,0.8011076118385916
SIMGO_212_Q2,Q2,0.43024166159258503,0.5364445707519241
SIMGO_212_Q3,Q3,0.8337526554360327,0.8482756479573983
SIMGO_213_Q2,Q2,0.540828180321584,0.4602310210181765
SIMGO_213_Q3,Q3,0.7474624179690142,0.8163971107164002
SIMGO_214_Q2,Q2,0.5044167512346931,0.612957384778925
SIMGO_214_Q3,Q3,0.6262168549714723,0.7297552440192395
SIMGO_215_Q2,Q2,0.5576879327064024,0.5719715334517466
SIMGO_215_Q3,Q3,0.6756166700493879,0.7527123656762759
SIMGO_216_Q2,Q2,0.5287957964052952,0.4886429926410035
SIMGO_216_Q3,Q3,0.6199923324989288,0.7895943211805967
SIMGO_217_Q2,Q2,0.5305001465845793,0.5516238304232053
SIMGO_217_Q3,Q3,0.7047533545317186,0.7934393188300548
SIMGO_218_Q2,Q2,0.5221653023025055,0.5456489901381917
SIMGO_218_Q3,Q3,0.7630330379090273,0.8416425340438128
SIMGO_219_Q2,Q2,0.5186646370340302,0.5839428645097468
SIMGO_219_Q3,Q3,0.7135261935367477,0.7810365739754104
SIMGO_21_Q2,Q2,0.49263811650091327,0.49474027767911416
SIMGO_21_Q3,Q3,0.7499898969397649,0.8335583658969804
SIMGO_220_Q2,Q2,0.4722179825451594,0.49368989934872703
SIMGO_220_Q3,Q3,0.7307321110434567,0.8264934395217836
SIMGO_221_Q2,Q2,0.5376975396342152,0.5023581764357609
SIMGO_221_Q3,Q3,0.7413798795751302,0.7443477208382011
SIMGO_222_Q2,Q2,0.3881745484067383,0.40186843039772724
SIMGO_222_Q3,Q3,0.6968171752023994,0.7801497689789818
SIMGO_223_Q2,Q2,0.42998186861511406,0.5930151805802251
