GO ID,n_genes,n_neurons_peak,pct_neurons_peak,auc_all,auc_noneurons,auc
GO:0045197,24,8,0.3333333333333333,0.64889925136404,0.6388243877680495,0.64889925136404
GO:0045214,34,8,0.23529411764705882,0.5212167388167386,0.5082978354978356,0.5212167388167386
GO:0045216,21,4,0.19047619047619047,0.4871981674386915,0.5053842362032345,0.4871981674386915
GO:0045332,23,2,0.08695652173913043,0.47763144539179847,0.49624985499681,0.47763144539179847
GO:0045333,37,7,0.1891891891891892,0.570361056072076,0.606507942556182,0.570361056072076
GO:0045429,31,5,0.16129032258064516,0.47857759496242147,0.5365338716229939,0.47857759496242147
GO:0045444,69,24,0.34782608695652173,0.4950504312396895,0.497782907629455,0.4950504312396895
GO:0045445,19,6,0.3157894736842105,0.526547437848808,0.49565047353289404,0.526547437848808
GO:0045453,24,8,0.3333333333333333,0.4914176500444105,0.5204621875396525,0.4914176500444105
GO:0045454,36,6,0.16666666666666666,0.540387106606721,0.5578680772519831,0.540387106606721
GO:0045471,95,33,0.3473684210526316,0.5125622246804815,0.4755298974774315,0.5125622246804815
GO:0045494,39,17,0.4358974358974359,0.493638602251407,0.5068763680425266,0.493638602251407
GO:0045582,34,6,0.17647058823529413,0.5464023088023084,0.5008715728715729,0.5464023088023084
GO:0045595,32,4,0.125,0.4619511947385795,0.467716030573119,0.4619511947385795
GO:0045596,31,8,0.25806451612903225,0.5038797481210645,0.4250698253097705,0.5038797481210645
GO:0045597,48,10,0.20833333333333334,0.471788955838609,0.452272106119543,0.471788955838609
GO:0045599,46,11,0.2391304347826087,0.5863621342687919,0.5701907352330595,0.5863621342687919
GO:0045600,51,11,0.21568627450980393,0.522315364961975,0.536488718160441,0.522315364961975
GO:0045648,29,2,0.06896551724137931,0.47375250345547404,0.5495740599700996,0.47375250345547404
GO:0045662,19,4,0.21052631578947367,0.4463491459496025,0.4548959918822935,0.4463491459496025
GO:0045663,40,10,0.25,0.5240334531439035,0.466125173705782,0.5240334531439035
GO:0045664,27,12,0.4444444444444444,0.5492929344208659,0.5041219638767616,0.5492929344208659
GO:0045665,52,6,0.11538461538461539,0.4831410247779585,0.5438068566863685,0.4831410247779585
GO:0045666,69,23,0.3333333333333333,0.4920201282093865,0.503230699394382,0.4920201282093865
GO:0045668,40,6,0.15,0.528710560725196,0.5516426556902205,0.528710560725196
GO:0045669,64,7,0.109375,0.4784305169184895,0.5269489748298455,0.4784305169184895
GO:0045671,24,7,0.2916666666666667,0.5146301230808275,0.49755265829209505,0.5146301230808275
GO:0045672,21,8,0.38095238095238093,0.5538550478800135,0.40097970989278653,0.5538550478800135
GO:0045727,71,10,0.14084507042253522,0.44117855497679004,0.5379521234187306,0.44117855497679004
GO:0045732,65,14,0.2153846153846154,0.477654857065274,0.5382563442361825,0.477654857065274
GO:0045736,27,3,0.1111111111111111,0.46451557405715205,0.5475118737378866,0.46451557405715205
GO:0045737,30,10,0.3333333333333333,0.4791492116688245,0.5200116789803746,0.4791492116688245
GO:0045739,41,8,0.1951219512195122,0.4467095515654745,0.536832342328607,0.4467095515654745
GO:0045740,27,7,0.25925925925925924,0.5725186426145915,0.5767520109204545,0.5725186426145915
GO:0045742,23,5,0.21739130434782608,0.5158977872513195,0.4464666347659645,0.5158977872513195
